ID,Record,Subject,Test,Session,Rep,TestVer,Battery,BatVer,AresVer,Seed,Date,Start_Time,Dur,Stim,Cor,Err,Imp,Lap,ITI,mRTC,mRTE,mRTA,sdRTC,sdRTE,sdRTA,medRTC,medRTE,medRTA,TPut,Stim1,Cor1,Err1,Imp1,Lap1,ITI1,mRTC1,mRTE1,mRTA1,sdRTC1,sdRTE1,sdRTA1,medRTC1,medRTE1,medRTA1,TPut1,Stim2,Cor2,Err2,Imp2,Lap2,ITI2,mRTC2,mRTE2,mRTA2,sdRTC2,sdRTE2,sdRTA2,medRTC2,medRTE2,medRTA2,TPut2,spare1,spare2,spare3,spare4,spare5,sparestring
55,617,C1G0001,Matching To Sample,61,0,1.23,ARES_JSC1,1,1.27,61,10/4/2004,2:07:30 AM,151,10,7,3,0,0,11,1317,2733,1742,285,850,826,1300,2380,2380,24,5,5,0,0,0,7,1266,NA,1266,303,NA,303,1155,NA,NA,47,5,2,3,0,0,4,1445,2733,2218,275,850,937,1445,2380,2380,10,0,0,0,0,0,NA
56,623,C1G0001,Matching To Sample,62,0,1.23,ARES_JSC1,1,1.27,62,10/4/2004,2:13:46 AM,138,10,9,1,0,0,11,1771,1030,1697,536,0,557,1620,1030,1030,31,5,5,0,0,0,7,1510,NA,1510,369,NA,369,1370,NA,NA,39,5,4,1,0,0,4,2097,1030,1884,573,0,689,2090,1030,1030,25,0,0,0,0,0,NA
57,632,C1G0001,Matching To Sample,63,0,1.23,ARES_JSC1,1,1.27,63,10/4/2004,2:19:18 AM,150,10,8,2,0,0,11,1496,3835,1964,832,106,1229,1145,3835,3835,24,5,4,1,0,0,7,1297,3760,1790,378,0,1149,1145,3760,3760,26,5,4,1,0,0,4,1695,3910,2138,1168,0,1416,1180,3910,3910,22,0,0,0,0,0,NA
58,644,C1G0001,Matching To Sample,64,0,1.23,ARES_JSC1,1,1.27,64,10/5/2004,2:07:12 AM,146,10,10,0,0,0,11,2329,NA,2329,1109,NA,1109,2455,NA,NA,25,5,5,0,0,0,7,2328,NA,2328,1117,NA,1117,1980,NA,NA,25,5,5,0,0,0,4,2330,NA,2330,1233,NA,1233,1855,NA,NA,25,0,0,0,0,0,NA
59,647,C1G0001,Matching To Sample,65,0,1.23,ARES_JSC1,1,1.27,65,10/5/2004,2:12:26 AM,154,10,9,1,0,0,11,1835,2010,1853,728,0,689,1630,2010,2010,29,5,5,0,0,0,7,1722,NA,1722,548,NA,548,1495,NA,NA,34,5,4,1,0,0,4,1977,2010,1984,983,0,851,2060,2010,2010,24,0,0,0,0,0,NA
60,659,C1G0001,Matching To Sample,66,0,1.23,ARES_JSC1,1,1.27,66,10/5/2004,2:18:21 AM,145,10,9,1,0,0,11,2002,3280,2130,554,0,661,1880,3280,3280,25,5,4,1,0,0,7,1727,3280,2038,647,0,892,1610,3280,3280,23,5,5,0,0,0,4,2222,NA,2222,406,NA,406,2115,NA,NA,27,0,0,0,0,0,NA
61,665,C1G0001,Matching To Sample,67,0,1.23,ARES_JSC1,1,1.27,67,10/6/2004,2:13:02 AM,141,10,7,3,0,0,11,1804,2330,1962,881,632,819,1285,1990,1990,21,5,4,1,0,0,7,2030,1760,1976,1129,0,985,1995,1760,1760,24,5,3,2,0,0,4,1503,2615,1948,421,558,733,1265,2615,2615,18,0,0,0,0,0,NA
62,674,C1G0001,Matching To Sample,68,0,1.23,ARES_JSC1,1,1.27,68,10/6/2004,2:16:06 AM,146,10,8,2,0,0,11,1571,2240,1705,480,1456,703,1430,2240,2240,28,5,4,1,0,0,7,1397,3270,1772,298,0,876,1400,3270,3270,27,5,4,1,0,0,4,1745,1210,1638,608,0,578,1720,1210,1210,29,0,0,0,0,0,NA
63,680,C1G0001,Matching To Sample,69,0,1.23,ARES_JSC1,1,1.27,69,10/6/2004,2:18:51 AM,145,10,8,2,0,0,11,1282,3465,1719,485,21,1014,1155,3465,3465,27,5,4,1,0,0,7,1090,3450,1562,270,0,1081,1030,3450,3450,30,5,4,1,0,0,4,1475,3480,1876,613,0,1042,1330,3480,3480,25,0,0,0,0,0,NA
64,695,C1G0001,Matching To Sample,70,0,1.23,ARES_JSC1,1,1.27,70,10/7/2004,2:09:41 AM,138,10,10,0,0,0,11,1440,NA,1440,372,NA,372,1365,NA,NA,41,5,5,0,0,0,7,1334,NA,1334,238,NA,238,1200,NA,NA,44,5,5,0,0,0,4,1546,NA,1546,476,NA,476,1495,NA,NA,38,0,0,0,0,0,NA
